iter	MultiClass
0	1.081218122
1	1.063666825
2	1.048506952
3	1.036629638
4	1.022825322
5	1.010744836
6	0.9976804239
7	0.9862065485
8	0.9746004256
9	0.9569707528
10	0.9457962918
11	0.9334706543
12	0.9195903611
13	0.9091100274
14	0.8989001053
15	0.887479457
16	0.8764273029
17	0.8664403928
18	0.8562463958
19	0.8462848919
20	0.835951654
21	0.82723937
22	0.8182711707
23	0.8076913345
24	0.7987529238
25	0.7910819956
26	0.7822225483
27	0.7735786364
28	0.7663202932
29	0.7598866325
30	0.7527254349
31	0.7452276921
32	0.7397422701
33	0.7336541033
34	0.726941
35	0.7197061479
36	0.7132127616
37	0.7068971093
38	0.701212066
39	0.6960994234
40	0.6905291223
41	0.6843162532
42	0.6784905765
43	0.6732760567
44	0.6678035477
45	0.6630916368
46	0.6590598371
47	0.6523952921
48	0.6469506957
49	0.6418008277
50	0.6368495032
51	0.632703543
52	0.628397676
53	0.6248298933
54	0.6209322998
55	0.6168091234
56	0.6132092933
57	0.6086844995
58	0.6041460657
59	0.6002325395
60	0.5967107833
61	0.5928742006
62	0.5885322088
63	0.5839282191
64	0.5809832579
65	0.5781998506
66	0.5743592663
67	0.5713784406
68	0.5689023144
69	0.5641561902
70	0.5606053285
71	0.5580244791
72	0.5543324791
73	0.5505902151
74	0.5475444408
75	0.5438772686
76	0.5410918661
77	0.5379510164
78	0.5348419274
79	0.5317138125
80	0.5286709686
81	0.5248314416
82	0.5220790342
83	0.5187507526
84	0.5150673045
85	0.5127084636
86	0.509973874
87	0.5078132808
88	0.504760825
89	0.5014172921
90	0.4987233821
91	0.4958984998
92	0.4928013668
93	0.4890203906
94	0.4856753235
95	0.4826169029
96	0.4802735858
97	0.4778624563
98	0.474880941
99	0.4722245847
100	0.4703528584
101	0.4680944459
102	0.4651829277
103	0.462650751
104	0.4605885522
105	0.4587118412
106	0.4565025153
107	0.4539690428
108	0.4513333258
109	0.4487978506
110	0.4462446376
111	0.4436941595
112	0.4414178757
113	0.4386819071
114	0.4356507453
115	0.4328718069
116	0.4309128517
117	0.4283714319
118	0.4264026948
119	0.4236150523
120	0.4210123771
121	0.4188182563
122	0.4171827224
123	0.4145954671
124	0.4120825218
125	0.4101244752
126	0.4081132903
127	0.4061682853
128	0.4040707942
129	0.4020577175
130	0.4001682684
131	0.3984332111
132	0.3970300474
133	0.3948276301
134	0.392743619
135	0.3912136479
136	0.3894064836
137	0.3874423064
138	0.3851709875
139	0.3828610644
140	0.3818725543
141	0.3803664475
142	0.3782664326
143	0.3760458281
144	0.3743797284
145	0.3725199246
146	0.3705134898
147	0.3685935553
148	0.3669317795
149	0.3650699168
150	0.3633879187
151	0.3613121048
152	0.3594799381
153	0.3576790484
154	0.3549497155
155	0.3534982658
156	0.3517994743
157	0.3499767646
158	0.3476717671
159	0.3462244443
160	0.3439184999
161	0.3423530876
162	0.3409119994
163	0.3389271342
164	0.337309261
165	0.3356974762
166	0.3334344207
167	0.331202985
168	0.3292424705
169	0.3270945151
170	0.325386279
171	0.3234533323
172	0.3215054662
173	0.3197654976
174	0.3183562625
175	0.3164732449
176	0.3147827601
177	0.3125113443
178	0.3105198557
179	0.3090744821
180	0.3074917921
181	0.3054246034
182	0.3038216078
183	0.3023777981
184	0.3008672614
185	0.2994806963
186	0.2982767094
187	0.2975023933
188	0.2958676856
189	0.2938448867
190	0.2922697651
191	0.2906312114
192	0.2891026773
193	0.2877639304
194	0.2860802315
195	0.2844950005
196	0.2830571046
197	0.2817899487
198	0.2804546131
199	0.2790327727
200	0.2777078388
201	0.276037628
202	0.2747324874
203	0.2733276878
204	0.2721547287
205	0.2706571219
206	0.2691289739
207	0.2679550716
208	0.2668925202
209	0.2656569797
210	0.264274226
211	0.262683794
212	0.2615754559
213	0.2604496293
214	0.2588351889
215	0.2573978659
216	0.2558040339
217	0.2543018954
218	0.2527012489
219	0.2517500729
220	0.2505786098
221	0.2492217329
222	0.2477783301
223	0.2466480664
224	0.2456163533
225	0.2446233445
226	0.2433210179
227	0.242197935
228	0.2409824063
229	0.2395737344
230	0.2383386806
231	0.2370517478
232	0.2361703561
233	0.2348058151
234	0.233639854
235	0.2331836296
236	0.2322220705
237	0.2314044585
238	0.2299978954
239	0.2288056456
240	0.2279166257
241	0.2271245728
242	0.2265698521
243	0.2255224616
244	0.224779956
245	0.2234093298
246	0.2225259512
247	0.2213736077
248	0.2207184185
249	0.2196369252
250	0.2185613948
251	0.217368539
252	0.2164057196
253	0.2153038578
254	0.2142374568
255	0.2134003151
256	0.2126848076
257	0.211772185
258	0.2110719218
259	0.2102790469
260	0.2092835609
261	0.2084768937
262	0.2075582375
263	0.206777375
264	0.2060196325
265	0.2051879027
266	0.2043114023
267	0.2033286264
268	0.2025939334
269	0.201744993
270	0.2008958091
271	0.2000865279
272	0.1994147917
273	0.1988568285
274	0.1979383307
275	0.1969507545
276	0.195964362
277	0.1950194553
278	0.1941883517
279	0.193416462
280	0.1929249914
281	0.1920223341
282	0.1912778599
283	0.1903824478
284	0.1897647635
285	0.1888268679
286	0.1882118401
287	0.1874907502
288	0.1867785484
289	0.1860457191
290	0.1855581604
291	0.1846878888
292	0.1840174027
293	0.1833785472
294	0.1827273854
295	0.1819715723
296	0.1809372697
297	0.1799943621
298	0.1792366494
299	0.1786157559
