Strategy,Accuracy,F1-Macro,Recall_PartlyAllowed,Improvement
Custom Weights (No Sampling),0.6254980079681275,0.5818360906528897,0.37142857142857144,2.3898007968127466
Day 1-2 Baseline (SMOTE + Stacking),0.6016,0.5469,0.29,0.0
SMOTE + Tomek,0.601593625498008,0.5212450785162676,0.2,-0.0006374501992034709
SMOTE (Original),0.5856573705179283,0.5004086845466156,0.17142857142857143,-1.5942629482071702
BorderlineSMOTE,0.5816733067729084,0.5280915133422508,0.2857142857142857,-1.9926693227091619
SMOTE + ENN,0.4900398406374502,0.4278488048916064,0.5142857142857142,-11.156015936254981
