gnd_contradictions,gnd_chain_of_custody,gnd_illegal_search_or_raid,gnd_wrong_identification,gnd_dying_declaration_validity,gnd_circumstantial_insufficient,gnd_medical_inconsistency,gnd_misdirection_on_law,gnd_procedural_error,gnd_new_evidence,gnd_sentence_excessive_or_inadequate,gnd_delay_prejudice,gnd_judicial_bias_or_unfair_trial,gnd_other,eyewitness_present,child_witness_present,expert_evidence_present,forensic_evidence_present,dying_declaration_present,confession_present,procedural_defects_present,digital_evidence_present,hospital_treatment_details_present,total_grounds_raised,coa_year,appeal_duration_days,brief_facts_summary_length,brief_facts_summary_word_count,grounds_of_appeal_raw_text_summary_length,grounds_of_appeal_raw_text_summary_word_count,court_of_appeal_analysis_summary_length,court_of_appeal_analysis_summary_word_count,murder_with_eyewitness,drug_with_forensic,medical_evidence_score,custody_quality_score,evidence_count,grounds_to_evidence_ratio,offence_category_grouped_Customs,offence_category_grouped_Drug_Related,offence_category_grouped_Environmental,offence_category_grouped_Firearms_Weapons,offence_category_grouped_Fraud_Corruption,offence_category_grouped_Murder_Related,offence_category_grouped_Other,offence_category_grouped_Robbery_Theft,offence_category_grouped_Sexual_Offenses,offence_category_grouped_Traffic_Vehicle,medical_evidence_strength_Strong,medical_evidence_strength_Unknown,medical_evidence_strength_Weak,chain_of_custody_quality_Moderate,chain_of_custody_quality_Unknown,chain_of_custody_quality_Weak,appeal_type_simplified_Conviction_Only,appeal_type_simplified_Other,appeal_type_simplified_Revision,appeal_type_simplified_Sentence_Only,appeal_type_simplified_Writ
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,-0.4747904269388066,-0.46524891369444293,-0.23477778946661057,-0.616276397858922,-0.6277475329254796,-0.893548146005121,-0.8006293537648956,-0.6455703229723349,-0.41658848547324623,0.6190247237003741,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-0.18496887366843268,0.008497564225072739,-0.809082233201902,2.6203542072734227,2.5681266636069,2.365643261401494,2.2338792998847357,1.7507905735926779,1.8542313658116316,-0.6455703229723349,-0.41658848547324623,0.6190247237003741,-0.6210398698964571,0.15905663424448158,-0.42767768435185244,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,0.6043720963566731,2.2961857860044255,2.343894307361019,2.9608485688823283,3.274470875452087,1.2602786493158198,1.2433784568825192,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.020711571427789968,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,0.03693318418700866,0.2191066423178853,0.363175160522405,1.2754157179960062,1.5277635878926048,0.9836741807386441,1.0789180583246811,1.5490179216972058,-0.41658848547324623,0.6190247237003741,-0.6210398698964571,-1.092388959716817,-0.020711571427789968,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1.6322776783672412,0.008497564225072739,0.10207722848443238,-0.41722396239533216,-0.3095219082152375,-0.40412401103407014,-0.2932716693502596,-0.9783735163687882,-0.9885840949738534,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,1.0883569997195337,1.4105022282057802,-0.020711571427789968,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1.0265288276886833,0.008497564225072739,0.10207722848443238,-0.5432894595554979,-0.4216380863381779,-0.2862615739091525,-0.2189436996668774,-0.6058794986848584,-0.6126746125559379,-0.6455703229723349,2.400450408186381,-0.8802975015642299,1.943055434527529,1.4105022282057802,-0.2920223133771649,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,-0.8665118512009465,-0.8014235727882182,-0.907474858204253,-0.9521843436649372,-1.0365513661840817,-1.0005018738549623,-0.8711123817182548,-0.6455703229723349,2.400450408186381,-0.8802975015642299,1.943055434527529,1.4105022282057802,-1.1059545392252899,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,-0.6685082428758823,-1.0895732805828828,-1.0195910363271934,-0.6044901541464301,-0.5162555784004063,-1.0373824696652523,-0.9650897523227336,-0.6455703229723349,-0.41658848547324623,0.6190247237003741,-0.6210398698964571,0.15905663424448158,-1.2416099101999774,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.7907177243469907,0.008497564225072739,0.20750772122894706,-0.9995264968970501,-1.0195910363271934,-1.152550486777297,-1.0737153510257729,-1.0005018738549623,-0.9885840949738534,-0.6455703229723349,-0.41658848547324623,0.6190247237003741,-0.6210398698964571,0.15905663424448158,-0.8346437972759149,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,-0.7907177243469907,0.008497564225072739,-0.8210824518882694,-0.8434454051749402,-0.8701027988299396,-0.8637875158212489,-0.8507314419756262,-0.7570899415070478,-0.6831576405092971,-0.6455703229723349,2.400450408186381,-0.8802975015642299,1.943055434527529,1.4105022282057802,-1.1059545392252899,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,0.29150925203351974,-1.0835701616704938,-0.98221897695288,-0.5985970322901842,-0.40476362387533293,-0.9414929205584981,-0.8476180390671351,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,0.6549444465349362,-0.3812052489209991,-0.4590101457124914,-0.4571621077402831,-0.36759963903364185,-0.432540698376495,-0.44821421399809996,-0.6455703229723349,-0.41658848547324623,1.3686858363326762,1.943055434527529,1.4105022282057802,-1.1059545392252899,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.7907177243469907,0.008497564225072739,0.9180920991574242,-0.9875202590722724,-1.0943351550758205,-1.20558858348351,-1.0365513661840817,-0.9857496355308463,-0.9650897523227336,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.020711571427789968,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,-0.5185055092962882,-0.9515015455979393,-0.7953586800813126,-0.19197162420921843,-0.2561076845085685,-0.8640436693568889,-0.7066519831604168,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0.4207799770101253,0.008497564225072739,-0.06249719921432227,-0.9034765942988285,-0.907474858204253,-0.4276964984590537,-0.3304356541919507,-0.5726869624555974,-0.5891802699048182,-0.6455703229723349,2.400450408186381,-0.8802975015642299,1.943055434527529,1.4105022282057802,-0.56333305532654,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.4207799770101253,0.008497564225072739,0.7123740645339809,-0.8794641186492732,-0.6084983832097453,-0.8225356628275278,-0.7020755026088619,-0.7238974052777867,-0.6831576405092971,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,1.6071528802684598,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.4207799770101253,0.008497564225072739,0.29750936137670353,-0.7654048593138851,-0.7206145613326856,-0.5573451792964631,-0.5162555784004063,-0.7939705373173378,-0.7536406684626562,-0.6455703229723349,-0.41658848547324623,-0.1306363889319279,0.23365856491153825,1.4105022282057802,-0.56333305532654,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
