Model,Accuracy,F1-Macro,Improvement
Stacking,0.601593625498008,0.546949217665305,1.1993625498007976
XGBoost,0.5896414342629482,0.546889468362514,0.004143426294822561
Voting (Soft),0.5896414342629482,0.5317939617883388,0.004143426294822561
Week 6 Baseline (XGBoost+SMOTE),0.5896,0.5469,0.0
LightGBM,0.5856573705179283,0.5369910282953761,-0.3942629482071691
Random Forest,0.5577689243027888,0.5016366868112335,-3.183107569721122
